player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0020337,Steve Smith,26,3,12,69,185,2005,2006,1.00,103,15.17,0.12,0.00,0.00,0.68,4,6.25,0.25,0.50,0.45,0.22939866369710468,0,0,0,0.48,0.445859872611465,0.45054945054945056,0.4642467718794835,0.45479483500717366,3.4810690423162582,0.2765299479166667,17.88,19.98,0.12,0
00-0020337,Steve Smith,27,3,12,69,185,2006,2007,1.00,83,14.05,0.10,8.75,5.30,0.61,8,7.63,0.13,0.38,0.25,0.1777301927194861,0.18857142857142858,0.3154121863799283,0.41745243193637205,0.42105263157894735,0.3669064748201439,0.37341772151898733,0.3974452000472486,0.38328074112822935,2.4967880085653107,0.24677866889657527,19.98,15.59,-0.22,0
00-0020337,Steve Smith,28,3,12,69,185,2007,2008,0.87,100,10.02,0.07,7.21,4.57,0.43,9,7.33,0.00,0.44,0.41,0.21367521367521367,0.18683596786732315,0.38728813559322034,0.469981594806679,0.4117647058823529,0.3333333333333333,0.3424657534246575,0.3935931060322218,0.38269014612214314,2.141025641025641,0.23941181289424104,15.59,17.18,0.10,0
00-0020337,Steve Smith,29,3,12,69,185,2008,2009,0.96,81,17.49,0.07,12.26,5.52,0.72,5,8.00,0.00,0.60,0.44,0.23011363636363635,0.29283397227956354,0.4089661482159195,0.5794376323691054,0.42857142857142855,0.42962962962962964,0.42953020134228187,0.4578402003634042,0.4754014634385896,4.025568181818182,0.23038549563724794,17.18,13.96,-0.19,0
00-0020337,Steve Smith,30,3,12,69,185,2009,2010,0.51,128,7.67,0.05,12.40,2.77,0.33,5,4.40,0.00,0.40,0.09,0.2895927601809955,0.39744552967693464,0.29583333333333334,0.752345564013041,0.4666666666666667,0.2937062937062937,0.310126582278481,0.4021779000458505,0.36348464007336084,2.2217194570135748,0.1922653151167915,13.96,7.88,-0.44,0
00-0020337,Steve Smith,31,3,12,69,185,2010,2011,0.46,99,5.60,0.02,9.87,2.19,0.24,1,9.00,0.00,1.00,1.27,0.23684210526315788,0.33208701563562204,0.18531169940222034,0.6209327704032345,0.25,0.21238938053097345,0.21487603305785125,0.2425222740772168,0.23803563852354687,1.325358851674641,0.14152274885165134,7.88,16.50,1.09,1
00-0020337,Steve Smith,32,3,12,69,185,2011,2012,0.61,129,10.81,0.05,13.80,3.56,0.41,6,9.33,0.00,0.50,0.71,0.24855491329479767,0.36311709506323947,0.23490276356192427,0.6633260459927881,0.3333333333333333,0.3028571428571429,0.30612244897959184,0.3371239911958914,0.33939838591342625,2.6859344894026975,0.18091361374943465,16.50,13.44,-0.19,0
00-0020337,Steve Smith,33,3,12,69,185,2012,2013,0.53,138,8.51,0.03,13.28,1.94,0.37,3,9.00,0.00,0.33,-1.29,0.2816326530612245,0.40157825515124945,0.15349369988545247,0.7437115837128363,0.21052631578947367,0.2982456140350877,0.2894736842105263,0.2547411309021216,0.2812700199697104,2.3959183673469386,0.16287064239634128,13.44,10.16,-0.24,0
00-0020337,Steve Smith,34,3,12,69,185,2013,2014,0.58,110,6.77,0.04,11.08,1.62,0.40,0,0,0,0,0,0.24663677130044842,0.30429355966050925,0.11922304085733422,0.61339000467908,0.18181818181818182,0.2682926829268293,0.25806451612903225,0.20623416830847172,0.22088376020264566,1.6704035874439462,0.13605157401205625,10.16,12.19,0.20,0
00-0020337,Steve Smith,35,3,12,69,185,2014,2015,0.59,134,7.95,0.04,10.54,2.71,0.34,0,0,0,0,0,0.24187725631768953,0.3056456846203764,0.2073101085094232,0.6073324321728354,0.2222222222222222,0.23195876288659795,0.23076923076923078,0.2447036851201427,0.258192562858895,1.9223826714801444,0.15138557457549967,12.19,18.71,0.53,1
00-0020337,Steve Smith,36,3,12,69,185,2015,2016,0.63,73,9.18,0.04,9.85,3.51,0.38,0,0,0,0,0,0.2517241379310345,0.32198835647111507,0.267223382045929,0.6351768920734437,0.3333333333333333,0.3181818181818182,0.31958762886597936,0.33732382407879097,0.33971811852606554,2.310344827586207,0.21090932509015972,18.71,13.14,-0.30,0
00-0020337,Steve Smith,37,3,12,69,185,2016,,0.69,101,7.91,0.05,8.64,2.78,0.39,0,0,0,0,0,0.17206132879045996,0.2103107684895206,0.15172786177105832,0.42634060797730644,0.25,0.21195652173913043,0.21568627450980393,0.23046462513199578,0.21874340021119326,1.3611584327086883,0.14281054887708508,13.14,,,0
00-0022044,Andre Johnson,24,1,3,75,229,2005,2006,0.90,70,9.83,0.03,0.00,0.00,0.57,6,1.67,0.00,0.17,-0.80,0.19444444444444445,0,0,0,0.18181818181818182,0.3508771929824561,0.336,0.2498005458744489,0.29058996430820916,1.9111111111111112,0.1826320501342883,11.90,15.57,0.31,0
00-0022044,Andre Johnson,25,1,3,75,229,2006,2007,1.00,103,11.14,0.05,7.00,4.14,0.53,3,4.67,0.00,0.33,-0.15,0.21413721413721415,0.26674065852756196,0.2608695652173913,0.5345983480278708,0.35714285714285715,0.3525641025641026,0.35294117647058826,0.36784535596416784,0.3742668552569543,2.3846153846153846,0.22651632263344548,15.57,21.23,0.36,0
00-0022044,Andre Johnson,26,1,3,75,229,2007,2008,0.95,63,13.51,0.13,10.05,3.98,0.62,0,0,0,0,0,0.23247232472324722,0.2864253393665158,0.33827493261455527,0.5778487585780835,0.5333333333333333,0.39,0.40869565217391307,0.4804857621440536,0.44877721943048576,3.140221402214022,0.256578947368421,21.23,20.03,-0.06,0
