player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0027890,Ben Tate,25,2,26,70,220,2013,2014,0.69,49,2.86,0.00,-0.69,3.27,0.02,181,4.26,0.02,0.19,0.09,-0.01,0.10884353741496598,0.12473981661647351,0,0.00558659217877095,0.005076142131979695,0.018528321863419798,0.029645314981471677,0.2491103202846975,0.12142056199896238,10.36,6.34,-0.39,0
00-0027890,Ben Tate,26,2,26,70,220,2014,,0.75,12,5.00,0.00,1.42,3.75,0.25,119,3.12,0.03,0.15,0.03,0.00,0.03833049403747871,0.05555137700818055,0,0.022058823529411766,0.019867549668874173,0.010676156583629894,0.01708185053380783,0.17191977077363896,0.08353457738748629,6.34,,,0
00-0036670,Jermar Jefferson,21,7,29,70,217,2021,,0.80,5,4.60,0.00,0.20,4.20,0.40,15,4.93,0.13,0.27,0.04,0.00,0.05454545454545454,0.06050540461583406,0,0.046511627906976744,0.04081632653061224,0.013561320754716982,0.021698113207547172,0.18253968253968253,0.07909639295826666,6.43,,,0
00-0036698,Mekhi Sargent,24,8,32,68,208,2021,,0.00,1,0.00,0.00,-4.00,0.00,0.00,5,2.20,0.00,0.20,0.01,0.00,0,0.00803932909196067,0,0,0,0,0,0,0.003046078865750997,0.28,,,0
00-0036727,Adam Prentice,24,8,32,72,245,2021,,1.00,3,5.33,0.00,0.33,5.00,0.33,3,1.67,0.00,0.67,0.03,0.00,0.03968253968253968,0.045389507154213034,0,0.03225806451612903,0.027777777777777776,0.011461318051575931,0.01833810888252149,0.1568627450980392,0.020968670339610227,1.70,,,0
00-0036755,Jaret Patterson,22,8,32,69,195,2021,,0.91,11,6.64,0.00,-0.27,6.82,0.45,68,3.91,0.03,0.22,0.02,0.00,0.05151098901098901,0.036532188864254994,0,0.034482758620689655,0.031055900621118012,0.012457337883959044,0.019931740614334472,0.16478555304740405,0.05257218094611117,3.99,,,0
00-0036768,JaQuan Hardy,24,8,32,70,225,2021,,0,0,0,0,0,0,0,4,7.25,0.25,0.25,0.00,0.00,0,0,0,0,0,0,0,0,0.041291639602857935,4.45,,,0
00-0036842,Kene Nwangwu,23,4,14,73,210,2021,,0.80,5,1.80,0.00,-1.20,3.80,0.00,13,4.69,0.00,0.23,0.03,0.00,0.03292894280762565,0.037544802867383514,0,0,0,0.003122831367106176,0.0049965301873698825,0.04838709677419355,0.04349964065514241,3.83,,,0
00-0036857,Chris Evans,24,6,18,71,216,2021,,0.88,17,8.88,0.12,2.94,6.65,0.35,17,4.53,0.00,0.18,0.06,0.02,0.1008028545941124,0.1066516873446438,0.1111111111111111,0.05714285714285714,0.06504065040650407,0.08948813982521847,0.0765143570536829,0.5261324041811847,0.060414897488778346,8.30,,,0
00-0036860,Jake Funk,23,7,5,70,203,2021,,0,0,0,0,0,0,0,2,2.50,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.002461841457410143,0.17,,,0
